unitid,opeid,fips,sector,control,c21basic,instnm,cipcode,awlevel,ctotalt
135717,00150600,12,1,1,14,Miami Dade College,510904,2,69
135717,00150600,12,1,1,14,Miami Dade College,510801,2,20
135717,00150600,12,1,1,14,Miami Dade College,510805,2,16
135717,00150600,12,1,1,14,Miami Dade College,510714,2,10
135717,00150600,12,1,1,14,Miami Dade College,240101,3,6858
135717,00150600,12,1,1,14,Miami Dade College,513801,3,664
135717,00150600,12,1,1,14,Miami Dade College,510701,3,55
135717,00150600,12,1,1,14,Miami Dade College,100304,3,49
135717,00150600,12,1,1,14,Miami Dade College,510602,3,48
136145,00150800,12,1,1,14,North Florida College,510714,2,10
136145,00150800,12,1,1,14,North Florida College,240101,3,175
136145,00150800,12,1,1,14,North Florida College,513801,3,40
136233,00151000,12,1,1,23,Northwest Florida State College,480508,2,22
136233,00151000,12,1,1,23,Northwest Florida State College,510904,2,13
136233,00151000,12,1,1,23,Northwest Florida State College,510601,2,11
136233,00151000,12,1,1,23,Northwest Florida State College,240101,3,736
136233,00151000,12,1,1,23,Northwest Florida State College,513801,3,67
136233,00151000,12,1,1,23,Northwest Florida State College,510911,3,16
136233,00151000,12,1,1,23,Northwest Florida State College,310507,3,15
136233,00151000,12,1,1,23,Northwest Florida State College,111003,3,12
136233,00151000,12,1,1,23,Northwest Florida State College,510806,3,12
136358,00151200,12,1,1,14,Palm Beach State College,120401,2,64
136358,00151200,12,1,1,14,Palm Beach State College,510904,2,63
136358,00151200,12,1,1,14,Palm Beach State College,480508,2,19
136358,00151200,12,1,1,14,Palm Beach State College,513901,2,19
136358,00151200,12,1,1,14,Palm Beach State College,150501,2,16
136358,00151200,12,1,1,14,Palm Beach State College,510714,2,16
136358,00151200,12,1,1,14,Palm Beach State College,240101,3,2632
136358,00151200,12,1,1,14,Palm Beach State College,513801,3,228
136358,00151200,12,1,1,14,Palm Beach State College,110201,3,33
136358,00151200,12,1,1,14,Palm Beach State College,131210,3,28
136358,00151200,12,1,1,14,Palm Beach State College,111001,3,26
136358,00151200,12,1,1,14,Palm Beach State College,500408,3,26
136473,00151300,12,1,1,23,Pensacola State College,120401,2,60
136473,00151300,12,1,1,23,Pensacola State College,510904,2,20
136473,00151300,12,1,1,23,Pensacola State College,513901,2,20
136473,00151300,12,1,1,23,Pensacola State College,120503,2,10
136473,00151300,12,1,1,23,Pensacola State College,150501,2,10
136473,00151300,12,1,1,23,Pensacola State College,240101,3,881
136473,00151300,12,1,1,23,Pensacola State College,513801,3,198
136473,00151300,12,1,1,23,Pensacola State College,111003,3,36
136473,00151300,12,1,1,23,Pensacola State College,510602,3,24
136473,00151300,12,1,1,23,Pensacola State College,510910,3,13
136516,00151400,12,1,1,23,Polk State College,190709,2,10
136516,00151400,12,1,1,23,Polk State College,240101,3,984
136516,00151400,12,1,1,23,Polk State College,513801,3,100
136516,00151400,12,1,1,23,Polk State College,520201,3,28
136516,00151400,12,1,1,23,Polk State College,430103,3,27
136516,00151400,12,1,1,23,Polk State College,510911,3,16
137096,00151900,12,1,1,14,Santa Fe College,510909,2,37
137096,00151900,12,1,1,14,Santa Fe College,510601,2,18
137096,00151900,12,1,1,14,Santa Fe College,510904,2,17
137096,00151900,12,1,1,14,Santa Fe College,480508,2,15
137096,00151900,12,1,1,14,Santa Fe College,510714,2,13
137096,00151900,12,1,1,14,Santa Fe College,240101,3,1790
137096,00151900,12,1,1,14,Santa Fe College,513801,3,123
137096,00151900,12,1,1,14,Santa Fe College,110801,3,36
137096,00151900,12,1,1,14,Santa Fe College,110103,3,31
137096,00151900,12,1,1,14,Santa Fe College,010999,3,23
137096,00151900,12,1,1,14,Santa Fe College,111003,3,23
137096,00151900,12,1,1,14,Santa Fe College,510602,3,23
137209,00152000,12,1,1,23,Seminole State College of Florida,510904,2,72
137209,00152000,12,1,1,23,Seminole State College of Florida,510714,2,42
137209,00152000,12,1,1,23,Seminole State College of Florida,150803,2,32
137209,00152000,12,1,1,23,Seminole State College of Florida,150000,2,20
137209,00152000,12,1,1,23,Seminole State College of Florida,111001,2,16
137209,00152000,12,1,1,23,Seminole State College of Florida,240101,3,1720
137209,00152000,12,1,1,23,Seminole State College of Florida,513801,3,230
137209,00152000,12,1,1,23,Seminole State College of Florida,510908,3,49
137209,00152000,12,1,1,23,Seminole State College of Florida,500408,3,41
137209,00152000,12,1,1,23,Seminole State College of Florida,510904,3,36
137315,00152200,12,1,1,23,South Florida State College,460303,2,19
137315,00152200,12,1,1,23,South Florida State College,510904,2,19
137315,00152200,12,1,1,23,South Florida State College,120401,2,13
137315,00152200,12,1,1,23,South Florida State College,240101,3,215
137315,00152200,12,1,1,23,South Florida State College,513801,3,64
137315,00152200,12,1,1,23,South Florida State College,510911,3,10
137281,00152300,12,1,1,23,Saint Johns River State College,510904,2,17
137281,00152300,12,1,1,23,Saint Johns River State College,513901,2,14
137281,00152300,12,1,1,23,Saint Johns River State College,240101,3,630
137281,00152300,12,1,1,23,Saint Johns River State College,513801,3,110
137281,00152300,12,1,1,23,Saint Johns River State College,510911,3,14
137281,00152300,12,1,1,23,Saint Johns River State College,500502,3,13
137281,00152300,12,1,1,23,Saint Johns River State College,520201,3,12
137078,00152800,12,1,1,23,St Petersburg College,510714,2,51
137078,00152800,12,1,1,23,St Petersburg College,110202,2,46
137078,00152800,12,1,1,23,St Petersburg College,510904,2,36
137078,00152800,12,1,1,23,St Petersburg College,520904,2,10
137078,00152800,12,1,1,23,St Petersburg College,240101,3,2728
137078,00152800,12,1,1,23,St Petersburg College,513801,3,313
137078,00152800,12,1,1,23,St Petersburg College,520201,3,53
137078,00152800,12,1,1,23,St Petersburg College,111003,3,52
137078,00152800,12,1,1,23,St Petersburg College,018301,3,50
137759,00153300,12,1,1,14,Tallahassee Community College,190709,2,25
137759,00153300,12,1,1,14,Tallahassee Community College,510716,2,11
137759,00153300,12,1,1,14,Tallahassee Community College,240101,3,2107
137759,00153300,12,1,1,14,Tallahassee Community College,513801,3,122
137759,00153300,12,1,1,14,Tallahassee Community College,131210,3,28
137759,00153300,12,1,1,14,Tallahassee Community College,510602,3,28
137759,00153300,12,1,1,14,Tallahassee Community College,510908,3,16
138187,00675000,12,1,1,14,Valencia College,110202,2,80
138187,00675000,12,1,1,14,Valencia College,111001,2,58
138187,00675000,12,1,1,14,Valencia College,510904,2,49
138187,00675000,12,1,1,14,Valencia College,120501,2,37
138187,00675000,12,1,1,14,Valencia College,010605,2,35
138187,00675000,12,1,1,14,Valencia College,240101,3,6534
138187,00675000,12,1,1,14,Valencia College,513801,3,437
138187,00675000,12,1,1,14,Valencia College,520201,3,190
138187,00675000,12,1,1,14,Valencia College,520901,3,64
138187,00675000,12,1,1,14,Valencia College,110201,3,60
134495,00787000,12,1,1,2,Hillsborough Community College,510904,2,112
134495,00787000,12,1,1,2,Hillsborough Community College,480508,2,36
134495,00787000,12,1,1,2,Hillsborough Community College,510705,2,17
134495,00787000,12,1,1,2,Hillsborough Community College,510601,2,15
